Date,State,Number of Confirmed Cases,Number of Death Cases
2/12/22,Diamond Princess,49,0
2/13/22,Diamond Princess,49,0
2/14/22,Diamond Princess,49,0
2/15/22,Diamond Princess,49,0
2/16/22,Diamond Princess,49,0
2/17/22,Diamond Princess,49,0
2/18/22,Diamond Princess,49,0
2/19/22,Diamond Princess,49,0
2/20/22,Diamond Princess,49,0
2/21/22,Diamond Princess,49,0
2/22/22,Diamond Princess,49,0
2/23/22,Diamond Princess,49,0
2/24/22,Diamond Princess,49,0
2/25/22,Diamond Princess,49,0
2/26/22,Diamond Princess,49,0
2/27/22,Diamond Princess,49,0
2/28/22,Diamond Princess,49,0
3/1/22,Diamond Princess,49,0
3/2/22,Diamond Princess,49,0
3/3/22,Diamond Princess,49,0
3/4/22,Diamond Princess,49,0
3/5/22,Diamond Princess,49,0
3/6/22,Diamond Princess,49,0
3/7/22,Diamond Princess,49,0
3/8/22,Diamond Princess,49,0
3/9/22,Diamond Princess,49,0
3/10/22,Diamond Princess,49,0
3/11/22,Diamond Princess,49,0
3/12/22,Diamond Princess,49,0
3/13/22,Diamond Princess,49,0
3/14/22,Diamond Princess,49,0
3/15/22,Diamond Princess,49,0
3/16/22,Diamond Princess,49,0
3/17/22,Diamond Princess,49,0
3/18/22,Diamond Princess,49,0
3/19/22,Diamond Princess,49,0
3/20/22,Diamond Princess,49,0
3/21/22,Diamond Princess,49,0
3/22/22,Diamond Princess,49,0
3/23/22,Diamond Princess,49,0
3/24/22,Diamond Princess,49,0
3/25/22,Diamond Princess,49,0
3/26/22,Diamond Princess,49,0
3/27/22,Diamond Princess,49,0
3/28/22,Diamond Princess,49,0
3/29/22,Diamond Princess,49,0
3/30/22,Diamond Princess,49,0
3/31/22,Diamond Princess,49,0
4/1/22,Diamond Princess,49,0
4/2/22,Diamond Princess,49,0
4/3/22,Diamond Princess,49,0
4/4/22,Diamond Princess,49,0
4/5/22,Diamond Princess,49,0
4/6/22,Diamond Princess,49,0
4/7/22,Diamond Princess,49,0
4/8/22,Diamond Princess,49,0
4/9/22,Diamond Princess,49,0
4/10/22,Diamond Princess,49,0
4/11/22,Diamond Princess,49,0
4/12/22,Diamond Princess,49,0
4/13/22,Diamond Princess,49,0
4/14/22,Diamond Princess,49,0
4/15/22,Diamond Princess,49,0
4/16/22,Diamond Princess,49,0
4/17/22,Diamond Princess,49,0
4/18/22,Diamond Princess,49,0
4/19/22,Diamond Princess,49,0
4/20/22,Diamond Princess,49,0
4/21/22,Diamond Princess,49,0
4/22/22,Diamond Princess,49,0
4/23/22,Diamond Princess,49,0
4/24/22,Diamond Princess,49,0
4/25/22,Diamond Princess,49,0
4/26/22,Diamond Princess,49,0
4/27/22,Diamond Princess,49,0
4/28/22,Diamond Princess,49,0
4/29/22,Diamond Princess,49,0
4/30/22,Diamond Princess,49,0
5/1/22,Diamond Princess,49,0
5/2/22,Diamond Princess,49,0
5/3/22,Diamond Princess,49,0
5/4/22,Diamond Princess,49,0
5/5/22,Diamond Princess,49,0
5/6/22,Diamond Princess,49,0
5/7/22,Diamond Princess,49,0
5/8/22,Diamond Princess,49,0
5/9/22,Diamond Princess,49,0
5/10/22,Diamond Princess,49,0
5/11/22,Diamond Princess,49,0
5/12/22,Diamond Princess,49,0
5/13/22,Diamond Princess,49,0
5/14/22,Diamond Princess,49,0
5/15/22,Diamond Princess,49,0
5/16/22,Diamond Princess,49,0
5/17/22,Diamond Princess,49,0
5/18/22,Diamond Princess,49,0
5/19/22,Diamond Princess,49,0
5/20/22,Diamond Princess,49,0
5/21/22,Diamond Princess,49,0
5/22/22,Diamond Princess,49,0
5/23/22,Diamond Princess,49,0
5/24/22,Diamond Princess,49,0
5/25/22,Diamond Princess,49,0
5/26/22,Diamond Princess,49,0
5/27/22,Diamond Princess,49,0
5/28/22,Diamond Princess,49,0
5/29/22,Diamond Princess,49,0
5/30/22,Diamond Princess,49,0
5/31/22,Diamond Princess,49,0
6/1/22,Diamond Princess,49,0
6/2/22,Diamond Princess,49,0
6/3/22,Diamond Princess,49,0
6/4/22,Diamond Princess,49,0
6/5/22,Diamond Princess,49,0
6/6/22,Diamond Princess,49,0
6/7/22,Diamond Princess,49,0
6/8/22,Diamond Princess,49,0
6/9/22,Diamond Princess,49,0
6/10/22,Diamond Princess,49,0
6/11/22,Diamond Princess,49,0
6/12/22,Diamond Princess,49,0
6/13/22,Diamond Princess,49,0
6/14/22,Diamond Princess,49,0
6/15/22,Diamond Princess,49,0
6/16/22,Diamond Princess,49,0
6/17/22,Diamond Princess,49,0
6/18/22,Diamond Princess,49,0
6/19/22,Diamond Princess,49,0
6/20/22,Diamond Princess,49,0
6/21/22,Diamond Princess,49,0
6/22/22,Diamond Princess,49,0
6/23/22,Diamond Princess,49,0
6/24/22,Diamond Princess,49,0
6/25/22,Diamond Princess,49,0
6/26/22,Diamond Princess,49,0
6/27/22,Diamond Princess,49,0
6/28/22,Diamond Princess,49,0
6/29/22,Diamond Princess,49,0
6/30/22,Diamond Princess,49,0
7/1/22,Diamond Princess,49,0
7/2/22,Diamond Princess,49,0
7/3/22,Diamond Princess,49,0
7/4/22,Diamond Princess,49,0
7/5/22,Diamond Princess,49,0
7/6/22,Diamond Princess,49,0
7/7/22,Diamond Princess,49,0
7/8/22,Diamond Princess,49,0
7/9/22,Diamond Princess,49,0
7/10/22,Diamond Princess,49,0
7/11/22,Diamond Princess,49,0
7/12/22,Diamond Princess,49,0
7/13/22,Diamond Princess,49,0
7/14/22,Diamond Princess,49,0
7/15/22,Diamond Princess,49,0
7/16/22,Diamond Princess,49,0
7/17/22,Diamond Princess,49,0
7/18/22,Diamond Princess,49,0
7/19/22,Diamond Princess,49,0
7/20/22,Diamond Princess,49,0
7/21/22,Diamond Princess,49,0
7/22/22,Diamond Princess,49,0
7/23/22,Diamond Princess,49,0
7/24/22,Diamond Princess,49,0
7/25/22,Diamond Princess,49,0
7/26/22,Diamond Princess,49,0
7/27/22,Diamond Princess,49,0
7/28/22,Diamond Princess,49,0
7/29/22,Diamond Princess,49,0
7/30/22,Diamond Princess,49,0
7/31/22,Diamond Princess,49,0
8/1/22,Diamond Princess,49,0
8/2/22,Diamond Princess,49,0
8/3/22,Diamond Princess,49,0
8/4/22,Diamond Princess,49,0
8/5/22,Diamond Princess,49,0
8/6/22,Diamond Princess,49,0
8/7/22,Diamond Princess,49,0
8/8/22,Diamond Princess,49,0
8/9/22,Diamond Princess,49,0
8/10/22,Diamond Princess,49,0
8/11/22,Diamond Princess,49,0
8/12/22,Diamond Princess,49,0
8/13/22,Diamond Princess,49,0
8/14/22,Diamond Princess,49,0
8/15/22,Diamond Princess,49,0
8/16/22,Diamond Princess,49,0
8/17/22,Diamond Princess,49,0
8/18/22,Diamond Princess,49,0
8/19/22,Diamond Princess,49,0
8/20/22,Diamond Princess,49,0
8/21/22,Diamond Princess,49,0
8/22/22,Diamond Princess,49,0
8/23/22,Diamond Princess,49,0
8/24/22,Diamond Princess,49,0
8/25/22,Diamond Princess,49,0
8/26/22,Diamond Princess,49,0
8/27/22,Diamond Princess,49,0
8/28/22,Diamond Princess,49,0
8/29/22,Diamond Princess,49,0
8/30/22,Diamond Princess,49,0
8/31/22,Diamond Princess,49,0
9/1/22,Diamond Princess,49,0
9/2/22,Diamond Princess,49,0
9/3/22,Diamond Princess,49,0
9/4/22,Diamond Princess,49,0
9/5/22,Diamond Princess,49,0
9/6/22,Diamond Princess,49,0
9/7/22,Diamond Princess,49,0
9/8/22,Diamond Princess,49,0
9/9/22,Diamond Princess,49,0
9/10/22,Diamond Princess,49,0
9/11/22,Diamond Princess,49,0
9/12/22,Diamond Princess,49,0
9/13/22,Diamond Princess,49,0
9/14/22,Diamond Princess,49,0
9/15/22,Diamond Princess,49,0
9/16/22,Diamond Princess,49,0
9/17/22,Diamond Princess,49,0
9/18/22,Diamond Princess,49,0
9/19/22,Diamond Princess,49,0
9/20/22,Diamond Princess,49,0
9/21/22,Diamond Princess,49,0
9/22/22,Diamond Princess,49,0
9/23/22,Diamond Princess,49,0
9/24/22,Diamond Princess,49,0
9/25/22,Diamond Princess,49,0
9/26/22,Diamond Princess,49,0
9/27/22,Diamond Princess,49,0
9/28/22,Diamond Princess,49,0
9/29/22,Diamond Princess,49,0
9/30/22,Diamond Princess,49,0
10/1/22,Diamond Princess,49,0
10/2/22,Diamond Princess,49,0
10/3/22,Diamond Princess,49,0
10/4/22,Diamond Princess,49,0
10/5/22,Diamond Princess,49,0
10/6/22,Diamond Princess,49,0
10/7/22,Diamond Princess,49,0
10/8/22,Diamond Princess,49,0
10/9/22,Diamond Princess,49,0
10/10/22,Diamond Princess,49,0
10/11/22,Diamond Princess,49,0
10/12/22,Diamond Princess,49,0
10/13/22,Diamond Princess,49,0
10/14/22,Diamond Princess,49,0
10/15/22,Diamond Princess,49,0
10/16/22,Diamond Princess,49,0
10/17/22,Diamond Princess,49,0
10/18/22,Diamond Princess,49,0
10/19/22,Diamond Princess,49,0
10/20/22,Diamond Princess,49,0
10/21/22,Diamond Princess,49,0
10/22/22,Diamond Princess,49,0
10/23/22,Diamond Princess,49,0
10/24/22,Diamond Princess,49,0
10/25/22,Diamond Princess,49,0
10/26/22,Diamond Princess,49,0
10/27/22,Diamond Princess,49,0
10/28/22,Diamond Princess,49,0
10/29/22,Diamond Princess,49,0
10/30/22,Diamond Princess,49,0
10/31/22,Diamond Princess,49,0
11/1/22,Diamond Princess,49,0
11/2/22,Diamond Princess,49,0
11/3/22,Diamond Princess,49,0
11/4/22,Diamond Princess,49,0
11/5/22,Diamond Princess,49,0
11/6/22,Diamond Princess,49,0
11/7/22,Diamond Princess,49,0
11/8/22,Diamond Princess,49,0
11/9/22,Diamond Princess,49,0
11/10/22,Diamond Princess,49,0
11/11/22,Diamond Princess,49,0
11/12/22,Diamond Princess,49,0
11/13/22,Diamond Princess,49,0
11/14/22,Diamond Princess,49,0
11/15/22,Diamond Princess,49,0
11/16/22,Diamond Princess,49,0
11/17/22,Diamond Princess,49,0
11/18/22,Diamond Princess,49,0
11/19/22,Diamond Princess,49,0
11/20/22,Diamond Princess,49,0
11/21/22,Diamond Princess,49,0
11/22/22,Diamond Princess,49,0
11/23/22,Diamond Princess,49,0
11/24/22,Diamond Princess,49,0
11/25/22,Diamond Princess,49,0
11/26/22,Diamond Princess,49,0
11/27/22,Diamond Princess,49,0
11/28/22,Diamond Princess,49,0
11/29/22,Diamond Princess,49,0
11/30/22,Diamond Princess,49,0
12/1/22,Diamond Princess,49,0
12/2/22,Diamond Princess,49,0
12/3/22,Diamond Princess,49,0
12/4/22,Diamond Princess,49,0
12/5/22,Diamond Princess,49,0
12/6/22,Diamond Princess,49,0
12/7/22,Diamond Princess,49,0
12/8/22,Diamond Princess,49,0
1/22/20,District of Columbia,0,0
1/23/20,District of Columbia,0,0
1/24/20,District of Columbia,0,0
1/25/20,District of Columbia,0,0
1/26/20,District of Columbia,0,0
1/27/20,District of Columbia,0,0
1/28/20,District of Columbia,0,0
1/29/20,District of Columbia,0,0
1/30/20,District of Columbia,0,0
1/31/20,District of Columbia,0,0
2/1/20,District of Columbia,0,0
2/2/20,District of Columbia,0,0
2/3/20,District of Columbia,0,0
2/4/20,District of Columbia,0,0
2/5/20,District of Columbia,0,0
2/6/20,District of Columbia,0,0
2/7/20,District of Columbia,0,0
2/8/20,District of Columbia,0,0
2/9/20,District of Columbia,0,0
2/10/20,District of Columbia,0,0
2/11/20,District of Columbia,0,0
2/12/20,District of Columbia,0,0
2/13/20,District of Columbia,0,0
2/14/20,District of Columbia,0,0
2/15/20,District of Columbia,0,0
2/16/20,District of Columbia,0,0
2/17/20,District of Columbia,0,0
2/18/20,District of Columbia,0,0
2/19/20,District of Columbia,0,0
2/20/20,District of Columbia,0,0
2/21/20,District of Columbia,0,0
2/22/20,District of Columbia,0,0
2/23/20,District of Columbia,0,0
2/24/20,District of Columbia,0,0
2/25/20,District of Columbia,0,0
2/26/20,District of Columbia,0,0
2/27/20,District of Columbia,0,0
2/28/20,District of Columbia,0,0
2/29/20,District of Columbia,0,0
3/1/20,District of Columbia,0,0
3/2/20,District of Columbia,0,0
3/3/20,District of Columbia,0,0
3/4/20,District of Columbia,0,0
3/5/20,District of Columbia,0,0
3/6/20,District of Columbia,0,0
3/7/20,District of Columbia,0,0
3/8/20,District of Columbia,0,0
3/9/20,District of Columbia,0,0
3/10/20,District of Columbia,0,0
3/11/20,District of Columbia,0,0
3/12/20,District of Columbia,0,0
3/13/20,District of Columbia,0,0
3/14/20,District of Columbia,0,0
3/15/20,District of Columbia,0,0
3/16/20,District of Columbia,22,0
3/17/20,District of Columbia,22,0
3/18/20,District of Columbia,31,0
3/19/20,District of Columbia,40,0
3/20/20,District of Columbia,71,1
3/21/20,District of Columbia,98,0
3/22/20,District of Columbia,102,2
3/23/20,District of Columbia,120,2
3/24/20,District of Columbia,141,2
3/25/20,District of Columbia,187,2
3/26/20,District of Columbia,231,3
3/27/20,District of Columbia,271,3
3/28/20,District of Columbia,304,4
3/29/20,District of Columbia,342,5
3/30/20,District of Columbia,401,9
3/31/20,District of Columbia,495,9
4/1/20,District of Columbia,586,9
4/2/20,District of Columbia,653,12
4/3/20,District of Columbia,757,15
4/4/20,District of Columbia,902,21
4/5/20,District of Columbia,1002,22
4/6/20,District of Columbia,1097,24
4/7/20,District of Columbia,1211,22
4/8/20,District of Columbia,1440,27
4/9/20,District of Columbia,1523,32
4/10/20,District of Columbia,1660,38
4/11/20,District of Columbia,1778,47
4/12/20,District of Columbia,1875,50
4/13/20,District of Columbia,1955,52
4/14/20,District of Columbia,2058,67
4/15/20,District of Columbia,2197,72
4/16/20,District of Columbia,2350,81
4/17/20,District of Columbia,2476,86
4/18/20,District of Columbia,2666,91
4/19/20,District of Columbia,2793,96
4/20/20,District of Columbia,2927,105
4/21/20,District of Columbia,3098,112
4/22/20,District of Columbia,3206,127
4/23/20,District of Columbia,3361,139
4/24/20,District of Columbia,3528,153
4/25/20,District of Columbia,3699,165
4/26/20,District of Columbia,3841,178
4/27/20,District of Columbia,3892,185
4/28/20,District of Columbia,3994,190
4/29/20,District of Columbia,4106,205
4/30/20,District of Columbia,4323,224
5/1/20,District of Columbia,4658,231
5/2/20,District of Columbia,4797,240
5/3/20,District of Columbia,5016,251
5/4/20,District of Columbia,5170,258
5/5/20,District of Columbia,5322,264
5/6/20,District of Columbia,5461,277
5/7/20,District of Columbia,5654,285
5/8/20,District of Columbia,5899,304
5/9/20,District of Columbia,6102,311
5/10/20,District of Columbia,6272,323
5/11/20,District of Columbia,6389,328
5/12/20,District of Columbia,6485,336
5/13/20,District of Columbia,6584,350
5/14/20,District of Columbia,6736,358
5/15/20,District of Columbia,6871,368
5/16/20,District of Columbia,7042,375
5/17/20,District of Columbia,7123,383
5/18/20,District of Columbia,7270,392
5/19/20,District of Columbia,7434,400
5/20/20,District of Columbia,7551,407
5/21/20,District of Columbia,7788,412
5/22/20,District of Columbia,7893,418
5/23/20,District of Columbia,7966,427
5/24/20,District of Columbia,8110,432
5/25/20,District of Columbia,8225,440
5/26/20,District of Columbia,8334,440
5/27/20,District of Columbia,8406,445
5/28/20,District of Columbia,8492,453
5/29/20,District of Columbia,8538,460
5/30/20,District of Columbia,8717,462
5/31/20,District of Columbia,8801,466
6/1/20,District of Columbia,8857,468
6/2/20,District of Columbia,8886,470
6/3/20,District of Columbia,9016,473
6/4/20,District of Columbia,9120,475
6/5/20,District of Columbia,9199,479
6/6/20,District of Columbia,9269,483
6/7/20,District of Columbia,9332,489
6/8/20,District of Columbia,9389,491
6/9/20,District of Columbia,9474,495
6/10/20,District of Columbia,9537,499
6/11/20,District of Columbia,9589,502
6/12/20,District of Columbia,9654,506
6/13/20,District of Columbia,9709,511
6/14/20,District of Columbia,9767,515
6/15/20,District of Columbia,9799,515
6/16/20,District of Columbia,9818,520
6/17/20,District of Columbia,9847,523
6/18/20,District of Columbia,9903,527
6/19/20,District of Columbia,9952,530
6/20/20,District of Columbia,9984,531
6/21/20,District of Columbia,10020,533
6/22/20,District of Columbia,10058,535
6/23/20,District of Columbia,10094,537
6/24/20,District of Columbia,10128,541
6/25/20,District of Columbia,10159,543
6/26/20,District of Columbia,10185,546
6/27/20,District of Columbia,10216,548
6/28/20,District of Columbia,10248,550
6/29/20,District of Columbia,10292,551
6/30/20,District of Columbia,10327,551
7/1/20,District of Columbia,10365,553
7/2/20,District of Columbia,10390,554
7/3/20,District of Columbia,10435,555
7/4/20,District of Columbia,10447,557
7/5/20,District of Columbia,10482,559
7/6/20,District of Columbia,10515,561
7/7/20,District of Columbia,10569,561
7/8/20,District of Columbia,10642,564
7/9/20,District of Columbia,10679,568
7/10/20,District of Columbia,10743,568
7/11/20,District of Columbia,10801,568
7/12/20,District of Columbia,10847,568
7/13/20,District of Columbia,10906,568
7/14/20,District of Columbia,10946,568
7/15/20,District of Columbia,11026,571
7/16/20,District of Columbia,11076,574
7/17/20,District of Columbia,11115,577
7/18/20,District of Columbia,11194,578
7/19/20,District of Columbia,11261,578
7/20/20,District of Columbia,11339,579
7/21/20,District of Columbia,11427,580
7/22/20,District of Columbia,11529,580
7/23/20,District of Columbia,11571,581
7/24/20,District of Columbia,11649,581
7/25/20,District of Columbia,11717,581
7/26/20,District of Columbia,11780,581
7/27/20,District of Columbia,11858,582
7/28/20,District of Columbia,11945,583
7/29/20,District of Columbia,11999,584
7/30/20,District of Columbia,12057,584
7/31/20,District of Columbia,12126,585
8/1/20,District of Columbia,12205,585
8/2/20,District of Columbia,12274,586
8/3/20,District of Columbia,12313,586
8/4/20,District of Columbia,12398,587
8/5/20,District of Columbia,12443,587
8/6/20,District of Columbia,12518,587
8/7/20,District of Columbia,12589,589
8/8/20,District of Columbia,12653,590
8/9/20,District of Columbia,12753,591
8/10/20,District of Columbia,12807,591
8/11/20,District of Columbia,12896,593
8/12/20,District of Columbia,12959,593
8/13/20,District of Columbia,13024,594
8/14/20,District of Columbia,13118,594
8/15/20,District of Columbia,13159,597
8/16/20,District of Columbia,13220,597
8/17/20,District of Columbia,13273,597
8/18/20,District of Columbia,13325,599
8/19/20,District of Columbia,13354,600
8/20/20,District of Columbia,13409,601
8/21/20,District of Columbia,13469,602
8/22/20,District of Columbia,13534,604
8/23/20,District of Columbia,13590,604
8/24/20,District of Columbia,13639,604
8/25/20,District of Columbia,13684,604
8/26/20,District of Columbia,13684,605
8/27/20,District of Columbia,13794,605
8/28/20,District of Columbia,13851,605
8/29/20,District of Columbia,13925,605
8/30/20,District of Columbia,13959,606
8/31/20,District of Columbia,13992,607
9/1/20,District of Columbia,14049,607
9/2/20,District of Columbia,14077,608
9/3/20,District of Columbia,14135,609
9/4/20,District of Columbia,14186,611
9/5/20,District of Columbia,14238,611
9/6/20,District of Columbia,14279,611
9/7/20,District of Columbia,14315,611
9/8/20,District of Columbia,14362,611
9/9/20,District of Columbia,14387,615
9/10/20,District of Columbia,14412,616
9/11/20,District of Columbia,14493,616
9/12/20,District of Columbia,14493,616
9/13/20,District of Columbia,14592,616
9/14/20,District of Columbia,14622,616
9/15/20,District of Columbia,14687,616
9/16/20,District of Columbia,14743,617
9/17/20,District of Columbia,14790,619
9/18/20,District of Columbia,14852,619
9/19/20,District of Columbia,14902,619
9/20/20,District of Columbia,14955,620
9/21/20,District of Columbia,14978,621
9/22/20,District of Columbia,15021,621
9/23/20,District of Columbia,15050,621
9/24/20,District of Columbia,15106,621
9/25/20,District of Columbia,15163,623
9/26/20,District of Columbia,15215,624
9/27/20,District of Columbia,15250,624
9/28/20,District of Columbia,15264,624
9/29/20,District of Columbia,15300,626
9/30/20,District of Columbia,15326,627
10/1/20,District of Columbia,15358,628
10/2/20,District of Columbia,15423,629
10/3/20,District of Columbia,15473,629
10/4/20,District of Columbia,15519,631
10/5/20,District of Columbia,15547,631
10/6/20,District of Columbia,15652,631
10/7/20,District of Columbia,15652,631
10/8/20,District of Columbia,15765,634
10/9/20,District of Columbia,15843,634
10/10/20,District of Columbia,15918,636
10/11/20,District of Columbia,15984,637
10/12/20,District of Columbia,16022,637
10/13/20,District of Columbia,16068,637
10/14/20,District of Columbia,16132,638
10/15/20,District of Columbia,16166,638
10/16/20,District of Columbia,16255,641
10/17/20,District of Columbia,16334,641
10/18/20,District of Columbia,16370,641
10/19/20,District of Columbia,16395,641
10/20/20,District of Columbia,16445,642
10/21/20,District of Columbia,16498,642
10/22/20,District of Columbia,16537,642
10/23/20,District of Columbia,16609,642
10/24/20,District of Columbia,16706,642
10/25/20,District of Columbia,16767,642
10/26/20,District of Columbia,16812,642
10/27/20,District of Columbia,16906,644
10/28/20,District of Columbia,16973,644
10/29/20,District of Columbia,17074,645
10/30/20,District of Columbia,17144,646
10/31/20,District of Columbia,17266,646
11/1/20,District of Columbia,17369,646
11/2/20,District of Columbia,17438,647
11/3/20,District of Columbia,17524,647
11/4/20,District of Columbia,17601,647
11/5/20,District of Columbia,17682,650
11/6/20,District of Columbia,17792,652
11/7/20,District of Columbia,17891,654
11/8/20,District of Columbia,18001,654
11/9/20,District of Columbia,18087,655
11/10/20,District of Columbia,18173,657
11/11/20,District of Columbia,18379,657
11/12/20,District of Columbia,18507,657
11/13/20,District of Columbia,18666,657
11/14/20,District of Columbia,18814,658
11/15/20,District of Columbia,18977,660
11/16/20,District of Columbia,19064,660
11/17/20,District of Columbia,19309,660
11/18/20,District of Columbia,19465,665
11/19/20,District of Columbia,19678,667
11/20/20,District of Columbia,19808,669
11/21/20,District of Columbia,19961,670
11/22/20,District of Columbia,20151,670
11/23/20,District of Columbia,20290,672
11/24/20,District of Columbia,20409,673
11/25/20,District of Columbia,20516,677
11/26/20,District of Columbia,20736,677
11/27/20,District of Columbia,20937,677
11/28/20,District of Columbia,21308,678
11/29/20,District of Columbia,21448,680
11/30/20,District of Columbia,21552,680
12/1/20,District of Columbia,21685,685
12/2/20,District of Columbia,21842,690
12/3/20,District of Columbia,22164,692
12/4/20,District of Columbia,22480,693
12/5/20,District of Columbia,22872,695
12/6/20,District of Columbia,23136,697
12/7/20,District of Columbia,23319,701
12/8/20,District of Columbia,23589,701
12/9/20,District of Columbia,23854,704
12/10/20,District of Columbia,24098,708
12/11/20,District of Columbia,24357,709
12/12/20,District of Columbia,24643,713
12/13/20,District of Columbia,24874,715
12/14/20,District of Columbia,25038,716
12/15/20,District of Columbia,25339,720
12/16/20,District of Columbia,25602,720
12/17/20,District of Columbia,25830,725
12/18/20,District of Columbia,26104,728
12/19/20,District of Columbia,26342,730
12/20/20,District of Columbia,26601,737
12/21/20,District of Columbia,26740,742
12/22/20,District of Columbia,26900,744
12/23/20,District of Columbia,27226,751
12/24/20,District of Columbia,27436,756
12/25/20,District of Columbia,27436,756
12/26/20,District of Columbia,27710,762
12/27/20,District of Columbia,28202,768
12/28/20,District of Columbia,28342,771
12/29/20,District of Columbia,28535,775
12/30/20,District of Columbia,28758,780
12/31/20,District of Columbia,28983,786
1/1/21,District of Columbia,29252,788
1/2/21,District of Columbia,29509,792
1/3/21,District of Columbia,29764,794
1/4/21,District of Columbia,29904,797
1/5/21,District of Columbia,30166,801
1/6/21,District of Columbia,30482,806
1/7/21,District of Columbia,30750,808
1/8/21,District of Columbia,31107,809
1/9/21,District of Columbia,31457,813
1/10/21,District of Columbia,31791,817
1/11/21,District of Columbia,31993,821
1/12/21,District of Columbia,32423,825
1/13/21,District of Columbia,32600,831
1/14/21,District of Columbia,32820,842
1/15/21,District of Columbia,33140,842
1/16/21,District of Columbia,33537,847
1/17/21,District of Columbia,33851,850
1/18/21,District of Columbia,34033,857
1/19/21,District of Columbia,34259,861
1/20/21,District of Columbia,34403,863
1/21/21,District of Columbia,34612,864
1/22/21,District of Columbia,34905,867
1/23/21,District of Columbia,35077,870
1/24/21,District of Columbia,35301,872
1/25/21,District of Columbia,35505,879
1/26/21,District of Columbia,35700,888
1/27/21,District of Columbia,35865,895
1/28/21,District of Columbia,36132,902
1/29/21,District of Columbia,36414,907
1/30/21,District of Columbia,36662,909
1/31/21,District of Columbia,36872,913
2/1/21,District of Columbia,37008,916
2/2/21,District of Columbia,37008,916
2/3/21,District of Columbia,37199,926
2/4/21,District of Columbia,37365,932
2/5/21,District of Columbia,37634,940
2/6/21,District of Columbia,37877,947
2/7/21,District of Columbia,38035,952
2/8/21,District of Columbia,38136,956
2/9/21,District of Columbia,38281,961
2/10/21,District of Columbia,38348,965
2/11/21,District of Columbia,38533,973
2/12/21,District of Columbia,38670,976
2/13/21,District of Columbia,38796,979
2/14/21,District of Columbia,38918,979
2/15/21,District of Columbia,39001,980
2/16/21,District of Columbia,39131,982
2/17/21,District of Columbia,39180,985
2/18/21,District of Columbia,39301,992
2/19/21,District of Columbia,39461,993
2/20/21,District of Columbia,39553,994
2/21/21,District of Columbia,39648,995
2/22/21,District of Columbia,39755,995
2/23/21,District of Columbia,39844,998
2/24/21,District of Columbia,39943,1001
2/25/21,District of Columbia,40122,1005
2/26/21,District of Columbia,40284,1009
2/27/21,District of Columbia,40478,1010
2/28/21,District of Columbia,40598,1017
3/1/21,District of Columbia,40684,1019
3/2/21,District of Columbia,40767,1019
3/3/21,District of Columbia,40818,1023
3/4/21,District of Columbia,41014,1024
3/5/21,District of Columbia,41122,1027
3/6/21,District of Columbia,41273,1030
3/7/21,District of Columbia,41419,1030
3/8/21,District of Columbia,41579,1035
3/9/21,District of Columbia,41910,1036
3/10/21,District of Columbia,42006,1037
3/11/21,District of Columbia,42128,1038
3/12/21,District of Columbia,42282,1038
3/13/21,District of Columbia,42432,1040
3/14/21,District of Columbia,42511,1041
3/15/21,District of Columbia,42623,1042
3/16/21,District of Columbia,42730,1042
3/17/21,District of Columbia,42811,1044
3/18/21,District of Columbia,42892,1046
3/19/21,District of Columbia,43034,1047
3/20/21,District of Columbia,43175,1049
3/21/21,District of Columbia,43229,1050
3/22/21,District of Columbia,43383,1050
3/23/21,District of Columbia,43488,1051
3/24/21,District of Columbia,43595,1053
3/25/21,District of Columbia,43669,1053
3/26/21,District of Columbia,43825,1055
3/27/21,District of Columbia,44051,1056
3/28/21,District of Columbia,44175,1056
3/29/21,District of Columbia,44248,1059
3/30/21,District of Columbia,44413,1061
3/31/21,District of Columbia,44513,1064
4/1/21,District of Columbia,44656,1066
4/2/21,District of Columbia,44807,1069
4/3/21,District of Columbia,44932,1070
4/4/21,District of Columbia,45037,1070
4/5/21,District of Columbia,45112,1072
4/6/21,District of Columbia,45234,1074
4/7/21,District of Columbia,45328,1076
4/8/21,District of Columbia,45498,1077
4/9/21,District of Columbia,45634,1079
4/10/21,District of Columbia,45762,1081
4/11/21,District of Columbia,45830,1081
4/12/21,District of Columbia,45903,1084
4/13/21,District of Columbia,46016,1085
4/14/21,District of Columbia,46209,1088
4/15/21,District of Columbia,46315,1090
4/16/21,District of Columbia,46449,1093
4/17/21,District of Columbia,46579,1095
4/18/21,District of Columbia,46662,1096
4/19/21,District of Columbia,46740,1096
4/20/21,District of Columbia,46869,1097
4/21/21,District of Columbia,46941,1097
4/22/21,District of Columbia,47040,1098
4/23/21,District of Columbia,47141,1099
4/24/21,District of Columbia,47219,1099
4/25/21,District of Columbia,47323,1099
4/26/21,District of Columbia,47378,1099
4/27/21,District of Columbia,47471,1100
4/28/21,District of Columbia,47533,1104
4/29/21,District of Columbia,47614,1105
4/30/21,District of Columbia,47697,1105
5/1/21,District of Columbia,47697,1105
5/2/21,District of Columbia,47800,1106
5/3/21,District of Columbia,47903,1106
5/4/21,District of Columbia,47986,1106
5/5/21,District of Columbia,48041,1109
5/6/21,District of Columbia,48080,1110
5/7/21,District of Columbia,48136,1110
5/8/21,District of Columbia,48164,1110
5/9/21,District of Columbia,48180,1110
5/10/21,District of Columbia,48195,1110
5/11/21,District of Columbia,48282,1113
